Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
Which type of networking cables would we use in our data center if we need to avoid EMI and save on cost?,multiple-choice,Single-mode fiber.,Multi-mode fiber.,Copper Ethernet.,COAX.,,,2,"In data centers we would use multimode fiber over single mode fiber as they are cheaper, more versatile and neither are susceptible to EMI.",CBK 4: Communication and Network Security
Looking at legacy internet speeds. What was the speed of the European E3 connections?,multiple-choice,1.544Mbps.,44.736Mbps.,2.048Mbps.,34.368Mbps.,,,4,"E3 (Europe): 16 bundled E1 lines, creating a dedicated 34.368 Mbps circuit.
",CBK 4: Communication and Network Security
We are blocking unused ports on our servers as part of our server hardening. We have chosen to block UDP port 137. What are we blocking?,multiple-choice,NetBIOS name service.,NetBIOS datagram service.,IMAP.,Microsoft Terminal Server (RDP).,,,1,NetBIOS Name Service uses UDP port 137 and is used for name registration and resolution.,CBK 4: Communication and Network Security
"At a financial steering committee meeting, you are asked about the difference between private and public IP addresses. Which of these IPs are public addresses? (Select all that apply).",multi-select,10.2.4.255,172.15.11.45,172.32.1.0,192.168.44.12,154.12.5.1,,"2,3,5","The easiest way to remember if an IP is private or public is to remember the 3 private ranges. Private Addresses (RFC 1918 – Not routable on the internet): 10.0.0.0 - 10.255.255.255 (10.0.0.0/8), 172.16.0.0 - 172.31.255.255 (172.16.0.0/12) and 192.168.0.0 - 192.168.255.255 (192.168.0.0/16)",CBK 4: Communication and Network Security
"We are, as part of our server hardening, blocking unused ports on our servers. One of the ports we are blocking is TCP port 23. What are we blocking?",multiple-choice,FTP data transfer.,FTP control.,SSH.,Telnet.,,,4,"Telnet: Remote access over a network. Uses TCP port 23, all data is plaintext including usernames and passwords, should not be used. Attackers with network access can easily sniff credentials and alter data and take controls of telnet sessions.",CBK 4: Communication and Network Security
"We are blocking unused ports on our servers as part of our server hardening. If we block TCP port 110, what would we be blocking?",multiple-choice,SMTP.,HTTP.,HTTPS.,POP3.,,,4,"Post Office Protocol, version 3 (POP3) uses TCP port 110.",CBK 4: Communication and Network Security
Which of these remote access protocol sends all data in plaintext?,multiple-choice,Telnet.,Secure Shell.,Command prompt.,PowerShell.,,,1,"Telnet is used for remote access over a network. Uses TCP port 23, all data is plaintext including usernames and passwords, should not be used. Attackers with network access can easily sniff credentials and alter data and take controls of telnet sessions.",CBK 4: Communication and Network Security
"Looking at these transport protocol, which of them transports files using Secure Shell (SSH)?",multiple-choice,FTP.,SFTP.,FTPS,TFTP.,,,2,SFTP (SSH /Secure File Transfer Protocol) - Uses SSH to add security to FTP.,CBK 4: Communication and Network Security
Which port is used by our DHCP servers to communicate with the clients?,multiple-choice,22,23,67,68,,,3,DHCP uses UDP Port 67 for the DHCP Server and UDP Port 68 for the Client.,CBK 4: Communication and Network Security
Jane is considering using Shielded Twisted Pair (STP) copper Ethernet cables over Unshielded Twisted Pair (UTP) copper Ethernet cables. What would be a reason to consider that?,multiple-choice,They are less susceptible to EMI.,They are more flexible.,They cost less.,There is never a good reason to use STP over UTP.,,,1,"STP (Shielded Twisted Pair): Has extra metal mesh shielding around each pair of cables, making them less susceptible to EMI, but also making the cables thicker, stiffer and more expensive.",CBK 4: Communication and Network Security
"We are blocking unused ports on our servers as part of our server hardening, when we block TCP/UDP port 138. Which protocol are we blocking?",multiple-choice,NetBIOS name service.,NetBIOS datagram service.,IMAP.,Microsoft Terminal Server (RDP).,,,2,NetBIOS Datagram Service uses TCP/UCP port 138.,CBK 4: Communication and Network Security
"Who is the organization responsible for delegating IP addresses to the ISPs in Asia, Australia, New Zealand, and the Pacific?",multiple-choice,ARIN.,APNIC.,LACNIC.,RIPE NNC.,,,2,"The world is divided into RIR (Regional Internet Registry) regions and organizations in those areas delegate the address space they have control over. APNIC (Asia-Pacific Network Information Centre): Asia, Australia, New Zealand, and neighboring countries.",CBK 4: Communication and Network Security
Which of these is a layer 3 broadcast address?,multiple-choice,FF:FF:FF:FF:FF:FF,255.255.255.255,127.0.0.1,0.0.0.0,,,2,"Layer 3 uses IP addresses, for broadcast it uses the 255.255.255.255 broadcast IP address, routers do not pass it, they drop it.",CBK 4: Communication and Network Security
We are slowly migrating from IPv4 to IPv6. In the process we are using dual stack routers. One of your colleagues has asked how large IPv6 addresses are. What do you answer?,multiple-choice,64 bit.,256 bit.,128 bit.,32 bit,,,3,"IPv6 is 128 bit in hexadecimal numbers (uses 0-9 and a-f). 8 groups of 4 hexadecimals, making addresses look like this: fd01:fe91:aa32:342d:74bb:234c:ce19:123b",CBK 4: Communication and Network Security
As part of our server hardening we have chosen to block TCP port 25. What are we blocking on the servers?,multiple-choice,SMTP.,HTTP.,HTTPS.,POP3.,,,1,"Simple Mail Transfer Protocol (SMTP), uses TCP port 25, but can also use port 2525.",CBK 4: Communication and Network Security
"We are blocking unused ports on our servers as part of our server hardening. When we block TCP port 143, what are we blocking?",multiple-choice,NetBIOS name service.,NetBIOS datagram service.,IMAP.,Microsoft Terminal Server (RDP).,,,3,Internet Message Access Protocol (IMAP) uses TCP port 143.,CBK 4: Communication and Network Security
"What would happen if we are using a Bus topology in our LAN design, and a cable breaks?",multiple-choice,Nothing the traffic just moves the other way.,Traffic stops at the break.,Nothing all nodes are connected to the switch by themselves.,The traffic is redirected.,,,2,"Bus: All nodes are connected in a line, each node inspects traffic and passes it along. Not very stable, a single break in the cable will break the signal to all nodes past that point, including communication between nodes way past the break. Faulty NICs (Network Interface Card) can also break the chain.",CBK 4: Communication and Network Security
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
